Date,Country,Infections,Recovered,Deaths,Tests
13-Apr,Italy,159516,35435,20465,1046910
22-Jan,Iran,0,0,0,0
23-Jan,Iran,0,0,0,0
24-Jan,Iran,0,0,0,0
25-Jan,Iran,0,0,0,0
26-Jan,Iran,0,0,0,0
27-Jan,Iran,0,0,0,0
28-Jan,Iran,0,0,0,0
29-Jan,Iran,0,0,0,0
30-Jan,Iran,0,0,0,0
31-Jan,Iran,0,0,0,0
1-Feb,Iran,0,0,0,0
2-Feb,Iran,0,0,0,0
3-Feb,Iran,0,0,0,0
4-Feb,Iran,0,0,0,0
5-Feb,Iran,0,0,0,0
6-Feb,Iran,0,0,0,0
7-Feb,Iran,0,0,0,0
8-Feb,Iran,0,0,0,0
9-Feb,Iran,0,0,0,0
10-Feb,Iran,0,0,0,0
11-Feb,Iran,0,0,0,0
12-Feb,Iran,0,0,0,0
13-Feb,Iran,0,0,0,0
14-Feb,Iran,0,0,0,0
15-Feb,Iran,0,0,0,0
16-Feb,Iran,0,0,0,0
17-Feb,Iran,0,0,0,0
18-Feb,Iran,0,0,0,0
19-Feb,Iran,2,0,2,0
20-Feb,Iran,5,0,2,0
21-Feb,Iran,18,0,4,0
22-Feb,Iran,28,0,5,0
23-Feb,Iran,43,0,8,0
24-Feb,Iran,61,0,12,0
25-Feb,Iran,95,0,16,0
26-Feb,Iran,139,49,19,0
27-Feb,Iran,245,49,26,0
28-Feb,Iran,388,73,34,0
29-Feb,Iran,593,123,43,0
1-Mar,Iran,978,175,54,0
2-Mar,Iran,1501,291,66,0
3-Mar,Iran,2336,291,77,0
4-Mar,Iran,2922,552,92,0
5-Mar,Iran,3513,739,107,0
6-Mar,Iran,4747,913,124,0
7-Mar,Iran,5823,1669,145,0
8-Mar,Iran,6566,2134,194,0
9-Mar,Iran,7161,2394,237,0
10-Mar,Iran,8042,2731,291,0
11-Mar,Iran,9000,2959,354,0
12-Mar,Iran,10075,2959,429,0
13-Mar,Iran,11364,2959,514,0
14-Mar,Iran,12729,2959,611,0
15-Mar,Iran,13938,4590,724,0
16-Mar,Iran,14991,4590,853,0
17-Mar,Iran,16169,5389,988,0
18-Mar,Iran,17361,5389,1135,0
19-Mar,Iran,18407,5710,1284,0
20-Mar,Iran,19644,6745,1433,0
21-Mar,Iran,20610,7635,1556,0
22-Mar,Iran,21638,7931,1685,0
23-Mar,Iran,23049,7931,1812,0
24-Mar,Iran,24811,8913,1934,0
25-Mar,Iran,27017,9625,2077,0
26-Mar,Iran,29406,10457,2234,0
27-Mar,Iran,32332,11133,2378,0
28-Mar,Iran,35408,11679,2517,0
29-Mar,Iran,38309,12391,2640,0
30-Mar,Iran,41495,13911,2757,0
31-Mar,Iran,44605,14656,2898,0
1-Apr,Iran,47593,15473,3036,0
2-Apr,Iran,50468,16711,3160,0
3-Apr,Iran,53183,17935,3294,0
4-Apr,Iran,55743,19736,3452,0
