Date,Country,Infections,Recovered,Deaths
2-Mar,Iran,1501,291,66
3-Mar,Iran,2336,291,77
4-Mar,Iran,2922,552,92
5-Mar,Iran,3513,739,107
6-Mar,Iran,4747,913,124
7-Mar,Iran,5823,1669,145
8-Mar,Iran,6566,2134,194
9-Mar,Iran,7161,2394,237
10-Mar,Iran,8042,2731,291
11-Mar,Iran,9000,2959,354
12-Mar,Iran,10075,2959,429
13-Mar,Iran,11364,2959,514
14-Mar,Iran,12729,2959,611
15-Mar,Iran,13938,4590,724
16-Mar,Iran,14991,4590,853
17-Mar,Iran,16169,5389,988
18-Mar,Iran,17361,5389,1135
19-Mar,Iran,18407,5710,1284
20-Mar,Iran,19644,6745,1433
21-Mar,Iran,20610,7635,1556
22-Mar,Iran,21638,7931,1685
23-Mar,Iran,23049,7931,1812
24-Mar,Iran,24811,8913,1934
25-Mar,Iran,27017,9625,2077
22-Jan,South Korea,1,0,0
23-Jan,South Korea,1,0,0
24-Jan,South Korea,2,0,0
25-Jan,South Korea,2,0,0
26-Jan,South Korea,3,0,0
27-Jan,South Korea,4,0,0
28-Jan,South Korea,4,0,0
29-Jan,South Korea,4,0,0
30-Jan,South Korea,4,0,0
31-Jan,South Korea,11,0,0
1-Feb,South Korea,12,0,0
2-Feb,South Korea,15,0,0
3-Feb,South Korea,15,0,0
4-Feb,South Korea,16,0,0
5-Feb,South Korea,19,0,0
6-Feb,South Korea,23,0,0
7-Feb,South Korea,24,1,0
8-Feb,South Korea,24,1,0
9-Feb,South Korea,25,3,0
10-Feb,South Korea,27,3,0
11-Feb,South Korea,28,3,0
12-Feb,South Korea,28,7,0
13-Feb,South Korea,28,7,0
14-Feb,South Korea,28,7,0
15-Feb,South Korea,28,9,0
16-Feb,South Korea,29,9,0
17-Feb,South Korea,30,10,0
18-Feb,South Korea,31,12,0
19-Feb,South Korea,31,12,0
20-Feb,South Korea,104,16,1
21-Feb,South Korea,204,16,2
22-Feb,South Korea,433,16,2
23-Feb,South Korea,602,18,6
24-Feb,South Korea,833,18,8
25-Feb,South Korea,977,22,10
26-Feb,South Korea,1261,22,12
27-Feb,South Korea,1766,22,13
28-Feb,South Korea,2337,22,13
29-Feb,South Korea,3150,27,16
1-Mar,South Korea,3736,30,17
2-Mar,South Korea,4335,30,28
3-Mar,South Korea,5186,30,28
4-Mar,South Korea,5621,41,35
5-Mar,South Korea,6088,41,35
6-Mar,South Korea,6593,135,42
7-Mar,South Korea,7041,135,44
8-Mar,South Korea,7314,118,50
9-Mar,South Korea,7478,118,53
10-Mar,South Korea,7513,247,54
11-Mar,South Korea,7755,288,60
12-Mar,South Korea,7869,333,66
13-Mar,South Korea,7979,510,66
14-Mar,South Korea,8086,510,72
15-Mar,South Korea,8162,510,75
16-Mar,South Korea,8236,1137,75
17-Mar,South Korea,8320,1407,81
18-Mar,South Korea,8413,1540,84
19-Mar,South Korea,8565,1540,91
20-Mar,South Korea,8652,1540,94
21-Mar,South Korea,8799,1540,102
22-Mar,South Korea,8961,2909,111
23-Mar,South Korea,8961,2909,111
24-Mar,South Korea,9037,3507,120
25-Mar,South Korea,9137,3730,126
22-Jan,France,0,0,0
23-Jan,France,0,0,0
24-Jan,France,2,0,0
25-Jan,France,3,0,0
26-Jan,France,3,0,0
27-Jan,France,3,0,0
28-Jan,France,4,0,0
29-Jan,France,5,0,0
30-Jan,France,5,0,0
31-Jan,France,5,0,0
1-Feb,France,6,0,0
2-Feb,France,6,0,0
3-Feb,France,6,0,0
4-Feb,France,6,0,0
5-Feb,France,6,0,0
6-Feb,France,6,0,0
7-Feb,France,6,0,0
8-Feb,France,11,0,0
9-Feb,France,11,0,0
10-Feb,France,11,0,0
11-Feb,France,11,0,0
12-Feb,France,11,2,0
13-Feb,France,11,2,0
14-Feb,France,11,2,0
15-Feb,France,12,4,1
16-Feb,France,12,4,1
17-Feb,France,12,4,1
18-Feb,France,12,4,1
19-Feb,France,12,4,1
20-Feb,France,12,4,1
21-Feb,France,12,4,1
22-Feb,France,12,4,1
23-Feb,France,12,4,1
24-Feb,France,12,4,1
25-Feb,France,14,11,1
26-Feb,France,18,11,2
27-Feb,France,38,11,2
28-Feb,France,57,11,2
29-Feb,France,100,12,2
1-Mar,France,130,12,2
2-Mar,France,191,12,3
3-Mar,France,204,12,4
4-Mar,France,288,12,4
5-Mar,France,380,12,6
6-Mar,France,656,12,9
7-Mar,France,959,12,11
8-Mar,France,1136,12,19
9-Mar,France,1219,12,19
10-Mar,France,1794,12,33
11-Mar,France,2293,12,48
12-Mar,France,2293,12,48
13-Mar,France,3681,12,79
14-Mar,France,4496,12,91
15-Mar,France,4532,12,91
16-Mar,France,6683,12,149
17-Mar,France,7715,12,149
18-Mar,France,9124,12,149
19-Mar,France,10970,12,244
20-Mar,France,12758,12,451
21-Mar,France,14463,12,563
22-Mar,France,16243,2206,676
23-Mar,France,20123,2206,862
24-Mar,France,22622,3250,1102
25-Mar,France,25600,3907,1333
22-Jan,Spain,0,0,0
23-Jan,Spain,0,0,0
24-Jan,Spain,0,0,0
25-Jan,Spain,0,0,0
26-Jan,Spain,0,0,0
27-Jan,Spain,0,0,0
28-Jan,Spain,0,0,0
29-Jan,Spain,0,0,0
30-Jan,Spain,0,0,0
31-Jan,Spain,0,0,0
1-Feb,Spain,1,0,0
2-Feb,Spain,1,0,0
3-Feb,Spain,1,0,0
4-Feb,Spain,1,0,0
5-Feb,Spain,1,0,0
6-Feb,Spain,1,0,0
7-Feb,Spain,1,0,0
8-Feb,Spain,1,0,0
9-Feb,Spain,2,0,0
10-Feb,Spain,2,0,0
11-Feb,Spain,2,0,0
12-Feb,Spain,2,0,0
13-Feb,Spain,2,0,0
14-Feb,Spain,2,0,0
15-Feb,Spain,2,2,0
16-Feb,Spain,2,2,0
17-Feb,Spain,2,2,0
18-Feb,Spain,2,2,0
19-Feb,Spain,2,2,0
20-Feb,Spain,2,2,0
21-Feb,Spain,2,2,0
22-Feb,Spain,2,2,0
23-Feb,Spain,2,2,0
24-Feb,Spain,2,2,0
25-Feb,Spain,6,2,0
26-Feb,Spain,13,2,0
27-Feb,Spain,15,2,0
28-Feb,Spain,32,2,0
29-Feb,Spain,45,2,0
1-Mar,Spain,84,2,0
2-Mar,Spain,120,2,0
3-Mar,Spain,165,2,1
4-Mar,Spain,222,2,2
5-Mar,Spain,259,2,3
6-Mar,Spain,400,2,5
7-Mar,Spain,500,30,10
8-Mar,Spain,673,30,17
9-Mar,Spain,1073,32,28
10-Mar,Spain,1695,32,35
11-Mar,Spain,2277,183,54
12-Mar,Spain,2277,183,55
13-Mar,Spain,5232,193,133
14-Mar,Spain,6391,517,195
15-Mar,Spain,7798,517,289
16-Mar,Spain,9942,530,342
17-Mar,Spain,11748,1028,533
18-Mar,Spain,13910,1081,623
19-Mar,Spain,17963,1107,830
